threadNum  bufferSize  entryNum  sertime  partime
1  10  100  5.9e-05  0.000374
1  10  1000  0.000524  0.000636
1  10  10000  0.000968  0.000496
1  10  100000  0.011293  0.003955
1  10  1000000  0.105039  0.02882
1  10  10000000  0.971663  0.27834
1  50  100  1.1e-05  0.000155
1  50  1000  0.000112  0.000295
1  50  10000  0.001007  0.000625
1  50  100000  0.01048  0.003462
1  50  1000000  0.109676  0.028242
1  50  10000000  0.975004  0.259052
1  100  100  1.1e-05  0.000133
1  100  1000  0.000113  0.0003
1  100  10000  0.000972  0.000604
1  100  100000  0.00976  0.002978
1  100  1000000  0.110142  0.028159
1  100  10000000  0.979558  0.258045
1  200  100  1.2e-05  0.000147
1  200  1000  0.000111  0.000294
1  200  10000  0.000973  0.0006
1  200  100000  0.010217  0.003529
1  200  1000000  0.104005  0.025396
1  200  10000000  1.00209  0.251532
1  300  100  1.1e-05  0.000167
1  300  1000  0.000124  0.000194
1  300  10000  0.001079  0.000417
1  300  100000  0.010364  0.003302
1  300  1000000  0.102937  0.025589
1  300  10000000  0.979232  0.250368
1  500  100  1.2e-05  0.000147
1  500  1000  0.000133  0.000289
1  500  10000  0.000968  0.000643
1  500  100000  0.009937  0.002987
1  500  1000000  0.101623  0.026094
1  500  10000000  0.986148  0.260595
1  1000  100  1.1e-05  0.00011
1  1000  1000  0.000109  0.000294
1  1000  10000  0.001038  0.000807
1  1000  100000  0.009965  0.00367
1  1000  1000000  0.099433  0.026241
1  1000  10000000  1.03457  0.255829
1  2000  100  1.2e-05  6.7e-05
1  2000  1000  0.000112  0.000276
1  2000  10000  0.001124  0.000522
1  2000  100000  0.009974  0.003631
1  2000  1000000  0.106317  0.025258
1  2000  10000000  0.994382  0.26474
2  10  100  1.1e-05  0.000118
2  10  1000  0.00011  0.000344
2  10  10000  0.000946  0.000497
2  10  100000  0.010323  0.003023
2  10  1000000  0.098662  0.021057
2  10  10000000  1.0148  0.194813
2  50  100  1.1e-05  0.000178
2  50  1000  0.000154  0.000198
2  50  10000  0.000996  0.000612
2  50  100000  0.010335  0.00193
2  50  1000000  0.106276  0.016097
2  50  10000000  1.01785  0.148058
2  100  100  1.1e-05  0.000117
2  100  1000  0.000114  0.000323
2  100  10000  0.000985  0.000611
2  100  100000  0.009574  0.002272
2  100  1000000  0.104541  0.015042
2  100  10000000  0.999708  0.139922
2  200  100  1.2e-05  0.000121
2  200  1000  0.000112  0.000214
2  200  10000  0.000969  0.000543
2  200  100000  0.010401  0.002056
2  200  1000000  0.109091  0.014207
2  200  10000000  0.960767  0.141732
2  300  100  1.1e-05  0.00012
2  300  1000  0.000112  0.000224
2  300  10000  0.00097  0.00058
2  300  100000  0.010303  0.002313
2  300  1000000  0.100494  0.013584
2  300  10000000  0.991245  0.133621
2  500  100  1.1e-05  0.000135
2  500  1000  0.000112  0.000219
2  500  10000  0.000985  0.000423
2  500  100000  0.009993  0.002262
2  500  1000000  0.099918  0.014199
2  500  10000000  0.978872  0.140143
2  1000  100  1.2e-05  0.000128
2  1000  1000  0.000111  0.000242
2  1000  10000  0.000977  0.000563
2  1000  100000  0.010335  0.002289
2  1000  1000000  0.106788  0.01472
2  1000  10000000  0.972165  0.137461
2  2000  100  1.1e-05  0.000124
2  2000  1000  0.000109  0.00021
2  2000  10000  0.00095  0.000441
2  2000  100000  0.009686  0.002225
2  2000  1000000  0.115024  0.015137
2  2000  10000000  1.00563  0.134562
3  10  100  1.2e-05  9.8e-05
3  10  1000  0.000112  0.000302
3  10  10000  0.000972  0.000627
3  10  100000  0.011365  0.003656
3  10  1000000  0.101348  0.020884
3  10  10000000  1.04361  0.206801
3  50  100  1.1e-05  0.000128
3  50  1000  0.000111  0.00016
3  50  10000  0.000982  0.000573
3  50  100000  0.009747  0.002175
3  50  1000000  0.111832  0.017496
3  50  10000000  0.984371  0.152258
3  100  100  1.1e-05  0.000109
3  100  1000  0.000278  0.000445
3  100  10000  0.000972  0.000505
3  100  100000  0.010312  0.002281
3  100  1000000  0.109178  0.015718
3  100  10000000  0.992838  0.154871
3  200  100  1.2e-05  0.000138
3  200  1000  0.000112  0.000208
3  200  10000  0.000969  0.00053
3  200  100000  0.009681  0.002446
3  200  1000000  0.112295  0.01504
3  200  10000000  1.01614  0.15727
3  300  100  1.1e-05  0.000124
3  300  1000  0.000111  0.000352
3  300  10000  0.000974  0.000463
3  300  100000  0.01114  0.002205
3  300  1000000  0.101397  0.014807
3  300  10000000  0.97978  0.156756
3  500  100  1.1e-05  0.000105
3  500  1000  0.000112  0.000171
3  500  10000  0.000973  0.000502
3  500  100000  0.009613  0.002433
3  500  1000000  0.110235  0.017041
